id,name,publisher_id,country_id,year_began,year_ended,is_surrogate,notes,url
1270,Åhlén & Åkerlunds ungdomstidningar,320,189,1955,1962,0,NULL,NULL
1271,Vanguard Studio Productions,2193,225,1981,NULL,0,NULL,http://www.vanguardproductions.net/vanguard/
1273,Doubleday & Company Inc.,5554,225,1897,NULL,0,NULL,http://doubleday.knopfdoubleday.com/
1274,Buenaventura Press,5654,225,2003,2010,0,NULL,http://www.buenaventurapress.com/
1275,Catalan Communications,458,225,1984,1994,0,NULL,NULL
1276,Last Gasp,351,225,1970,NULL,0,NULL,http://www.lastgasp.com
1277,The Federal Publishing Company Proprietary Limited,4922,14,NULL,NULL,0,NULL,NULL
1278,Faktum,7066,189,NULL,NULL,0,NULL,NULL
1279,ČálliidLágádus,5045,160,NULL,NULL,0,NULL,NULL
1280,Verlag bbb Edition Moderne AG,737,40,NULL,NULL,0,NULL,NULL
1281,Jår'galæd'dji å/s,7091,160,NULL,NULL,0,NULL,NULL
1282,Aardvark-Vanaheim,380,36,NULL,NULL,0,NULL,NULL
1283,Aardvark Vanaheim Press,380,36,1977,1981,0,Note without the hyphen.,NULL
1284,Aardvark Press,380,36,1978,1978,0,NULL,NULL
1285,Aardvark-Vanaheim Press,380,36,1978,NULL,0,With a hyphen.,NULL
1286,DenUngeHerrHolm.blogspot.com,7058,160,NULL,NULL,0,NULL,NULL
1287,Norbert Hethke Verlag GmbH,3489,54,NULL,NULL,0,NULL,NULL
1288,Koper Comics,7093,159,NULL,NULL,0,NULL,NULL
1289,Classics Nederland N.V. [Classics Nederland n.v.],296,159,NULL,NULL,0,Adresgegevens (1962 1964):Postbus 84Havenstraat 34BussumAdresgegevens (1970):Energiestraat 29Postbus 28Naarden,NULL
1290,Albumförlaget Jonas Anderson,4663,189,2008,NULL,0,NULL,http://www.albumforlaget.se
1291,Bélier Press Inc. and Kitchen Sink Press Inc.,7096,225,1996,1996,0,NULL,NULL
1292,Uitgeverij Arboris,3032,159,1985,NULL,0,NULL,NULL
1293,Eastern Color Printing Company,51,225,NULL,NULL,0,NULL,NULL
1294,The Vestal Press Ltd,7098,225,1983,NULL,0,NULL,NULL
1295,Abrams ComicArts,4476,225,2009,NULL,0,NULL,NULL
1296,Aller Norge AS,1563,160,NULL,NULL,0,NULL,NULL
1297,Altamira,164,106,NULL,NULL,0,NULL,NULL
1298,Sony Pictures Television Inc.,4932,225,2010,NULL,0,NULL,http://www.sonypictures.com/tv/
1299,Guideposts Books,7100,225,NULL,NULL,0,NULL,http://www.guideposts.org
1300,Uitgeverij Yendor BV,3367,159,NULL,NULL,0,NULL,NULL
1301,P&T Production,7102,20,NULL,NULL,0,NULL,NULL
1302,Dupuis,3361,20,NULL,NULL,0,NULL,NULL
1303,St. John Publishing Corp.,220,225,1954,1958,0,NULL,NULL
1304,Marvel Enterprises Inc.,78,225,1999,2010,0,NULL,NULL
1305,De Lombard Uitgaven (Dargaud-Lombard nv),4508,20,NULL,NULL,0,NULL,NULL
1306,Green Publishing Co.,2037,225,1946,1957,0,250 West Broadway New York N.Y.,NULL
1307,Top Cow,709,225,2000,2000,0,NULL,http://www.topcow.com/
1308,Atlantic Förlags AB,1079,189,NULL,NULL,0,NULL,NULL
1309,Seaboard Periodicals Inc.,372,225,1975,1975,0,NULL,NULL
1310,Kölner Bank von 1867 EG Volksbank,7116,54,1990,NULL,0,NULL,NULL
1311,Glénat Benelux n.v.,4252,20,NULL,NULL,0,NULL,NULL
1312,Vanguard Graphics,7115,36,1987,NULL,0,NULL,NULL
1313,12 Gauge Comics,5893,225,2009,NULL,0,NULL,NULL
1314,Digital Webbing LLC,2580,225,2001,NULL,0,NULL,NULL
1315,Arcana Studio Inc.,3161,225,2003,NULL,0,NULL,NULL
1316,Mythic Comics & Entertainment Group Inc.,7057,36,1996,1997,0,NULL,NULL
1317,Last Gasp Eco Funnies,351,225,1970,NULL,0,NULL,http://www.lastgasp.com
1318,Kickstart Comics Inc.,7127,225,2010,NULL,0,NULL,NULL
1319,Checker Book Publishing Group,3958,225,2002,2009,0,17 North Main Street Suite 31Centerville OH  45459,NULL
1320,Hound Comics,7129,225,2010,NULL,0,NULL,http://www.houndcomics.com/about-us.php
1321,Amryl Entertainment/Black Canvas Studios,3729,225,2010,NULL,0,NULL,http://www.amryl.com
1322,Gumby Comics,7130,225,2010,NULL,0,NULL,NULL
1323,Caliber Press Inc.,604,225,1991,1991,0,NULL,NULL
1324,Egmont Serieförlaget,1082,189,NULL,NULL,0,NULL,NULL
1325,Claypool Comics/Boffin Books,731,225,NULL,NULL,0,NULL,http://www.claypoolcomics.com/
1326,Editora La Selva,7131,29,1950,1968,0,NULL,NULL
1327,Hyperion Books for Children,4245,225,NULL,NULL,0,Full title: Hyperion Books for Children an imprint of Disney Book Group,NULL
1328,Idea + Design Works LLC,1977,225,NULL,NULL,0,This was used in the beginning of IDW later IDW Publishing a division of Idea + Design Works LLC was used.,NULL
1329,Burten Magazine Distributing Co.,2037,225,1944,1945,0,431 So. Dearborn St. Chicago Ill.,NULL
1330,IPC Magazines Ltd.,1946,75,1959,1991,0,Address:King's Reach TowerStamford StreetLondon SE1 9LS,NULL
1331,Rewl Publications Inc.,138,225,1944,1944,0,No. 500 Fifth Avenue New York City N. Y.,NULL
1332,Rural Home Publishing Co.,138,225,1945,1945,0,2747 W. Madison Street Chicago Ill.,NULL
1333,Educational Comics Inc.,169,225,1945,1955,0,NULL,NULL
1334,Xerox Education Publications,2397,225,1965,1985,0,Formerly American Education Publications Inc.; acquired by Xerox in 1965 and renamed.  Sold to Field Corp. in 1985.,NULL
1336,Gredown Pty Ltd,4592,14,NULL,NULL,0,The extent of use of this publisher is unknown -- probably from the mid 1970s until about 1980.,NULL
1337,Gredown Pty. Limited,4592,14,1975,1985,0,Dating for this publisher is uncertain and is an estimate only. The India publisher could have begun or ended a few years earlier or later than these dates.,NULL
1338,Didactic Chocolate Press,4048,225,1996,1997,0,a division of JMR Entertainment Inc.,NULL
1339,King Hell Press,646,225,1990,1997,0,"RR1 Box 51 West Townshend VTSome issues say ""...in association with TUNDRA PUBLISHING LTD."" or ""...in association with Kitchen Sink Press Inc.""",NULL
1340,Warner Books Inc.,546,225,1972,1992,0,NULL,NULL
1341,Ballantine Books Inc.,251,225,NULL,NULL,0,Appears in books for at least the period 1961 - 1970.,NULL
1342,Sport Magazine Pty. Ltd.,270,14,1967,1973,0,"Sport Magazine was one of numerous ""Proprietors"" that were part of the Kenneth G Murray publishing empire most of which were named after specific publications. The eponymous 'Sport Magazine' ran June 1954 to December 1963 when its title changed to 'Australian Sport and Surfriding' until the magazine ended sometime after 1964. The publisher's output also included a range of other sporting and car publications until about 1973. Between 1967/68 and 1973/74 a range of comics was also published by Sport Magazine. Some of these titles carried the ""Colour Comics"" cover branding but most were unbranded. Sport Magazine represented a distinct portfolio of Murray's comics focused on non-DC reprints including rare Marvel reprints and material from Europe (especially Spain and the UK).",NULL
1343,Den Gulden Engel BVBA,7133,20,NULL,NULL,0,NULL,NULL
