story_id,artist_id
38,1797
38,1402
43,2949
44,2949
48,2949
49,2949
73,2949
74,2949
76,2949
77,2949
78,2949
79,2949
87,534
90,534
91,534
101,2440
127,564
128,2470
130,1746
144,2470
145,2470
207,2501
209,2501
225,2470
227,2470
228,2470
229,2470
230,2470
231,2470
232,2470
234,2470
235,2470
236,2470
237,2470
238,2470
239,2501
241,2501
242,2501
243,2501
244,2501
246,2501
247,2501
248,2501
249,2501
251,2501
252,2501
253,2501
254,2501
256,2501
257,2501
258,2501
259,2501
261,2501
262,2501
263,2501
285,1561
286,1561
291,2207
292,2207
293,2207
294,2207
295,2207
296,2207
297,2207
298,2207
299,2207
300,2207
676,2100
5471,409
5498,409
5501,409
6527,409
6528,409
6720,1569
7022,3063
7147,682
7951,409
7954,409
8971,1569
8971,984
8972,1569
8972,984
8974,1569
8974,984
8980,1569
8980,984
8981,1569
8981,984
8982,1569
8982,984
8983,1569
8983,984
8986,1569
8986,984
10487,409
10789,1569
10789,984
10790,1569
10790,984
10792,1569
10792,984
10794,1569
10794,984
10796,1569
10796,984
10799,1569
10799,984
10801,1569
10801,984
11331,2596
11332,2543
11333,2673
11334,2596
11435,342
11436,342
11437,342
11438,342
11439,342
11440,342
11441,342
11492,2237
11580,331
11583,1578
11705,2596
11706,2596
11709,2930
11710,253
11712,2772
11844,342
11845,342
11847,342
11848,342
11849,342
11850,342
11851,342
12022,331
12024,1578
12209,2560
12217,1936
12219,2596
12220,2596
12221,2596
12222,2596
12224,496
12226,2543
12227,2931
12288,2559
12358,342
12359,342
12360,342
12363,342
12364,342
12365,342
12366,342
12522,409
12523,409
12555,331
12557,1578
12734,1198
12743,2596
12744,2596
12746,2596
12748,1614
12749,2596
12751,2543
12870,342
13062,1578
13064,331
13306,1198
13313,1936
13322,3172
13325,2596
13326,2596
13327,2596
13329,2992
13330,2596
13332,2543
13333,2930
13663,260
13942,1198
13944,1614
13949,1936
14220,3049
14275,260
14514,1108
14528,812
14531,812
14532,1931
14824,260
14825,507
14826,1375
14828,821
14829,2908
14830,237
15118,1198
15120,1614
