id,name,year_began,year_ended,notes,url,publisher_id
1909,Edu-Comics,NULL,NULL,NULL,NULL,441
1910,EEE,NULL,NULL,NULL,NULL,5730
1912,Een strip een auteur,NULL,NULL,NULL,NULL,52
1913,Christelijke Tijdschriften,2013,NULL,NULL,NULL,8939
1914,Een uitgave van Otto Simon B.V. Almelo/Unica B.V. Kortrijk,NULL,NULL,NULL,NULL,4010
1915,Panorama,NULL,NULL,NULL,NULL,5316
1916,Panorama,NULL,NULL,NULL,NULL,4848
1917,Eenieweenie Comics,NULL,NULL,NULL,NULL,3660
1918,Eenieweenie Comics; Crusade,NULL,NULL,NULL,NULL,3660
1919,Effaced Comics,1999,NULL,NULL,NULL,960
1920,EFG,1989,1989,Also known as EF Graphics though cover logo is EFG.,NULL,2737
1921,Egmont,NULL,NULL,NULL,NULL,2105
1922,Egmont,NULL,NULL,NULL,NULL,1082
1923,Egmont,NULL,NULL,NULL,NULL,8492
1924,Egmont,NULL,NULL,NULL,NULL,677
1929,Egmont Kärnan,NULL,NULL,NULL,NULL,1082
1930,Egmont Kärnan AB,NULL,NULL,NULL,NULL,1082
1931,Egmont Kärnan; Marvel,NULL,NULL,NULL,NULL,1082
1933,Egmont Kids Media,2012,NULL,Started 2013-01-01 but was printed in issues printed in december 2012 scheduled for publishing 2013.,NULL,1082
1936,Egmont Polska,1995,NULL,NULL,NULL,5345
1938,Egmont Serieförlaget AB,NULL,NULL,NULL,NULL,1082
1942,Marvel,NULL,NULL,NULL,NULL,2105
1943,Seriesamlerklubben,NULL,NULL,NULL,NULL,2105
1944,Tokyopop,NULL,NULL,NULL,NULL,2105
1945,Vertigo,NULL,NULL,NULL,NULL,2105
1949,Egmont [rectangular new],NULL,NULL,NULL,NULL,5345
1950,Egmont [rectangular],1999,NULL,NULL,NULL,5345
1951,Egmont [square],1990,NULL,NULL,NULL,5345
1952,Egmont/Methuen,NULL,NULL,Sometimes appears in a long rectangle sometimes with no rectangle.,NULL,7983
1954,EH Classiques Illustrés Héritage,1976,1978,"The ""Guide des comics Heritage"" lists the comics with this brand as a series ""Classiques Illustrés Héritage"" but the issues seen do not have issue numbers and the only reference to this title is as a brand on the cover.",NULL,2195
1955,Ehapa,NULL,NULL,NULL,NULL,677
1958,Eichborn,NULL,NULL,NULL,NULL,769
1959,eigoManga,NULL,NULL,NULL,NULL,5122
1960,Ein Buch von Taschen Comics,NULL,NULL,NULL,NULL,994
1961,Ein Comic-Klassiker bei Seven-Island,NULL,NULL,NULL,NULL,7921
