id,name,year_began,year_ended,notes,url,publisher_id
1, Åhlén & Åkerlund,NULL,NULL,NULL,NULL,320
2, Brian Babendererde,2007,NULL,NULL,http://www.twilighttangents.com/,5986
3, Dečje novine,NULL,NULL,NULL,NULL,6760
4, DrMaster Publications Inc.,2004,NULL,NULL,NULL,5948
5, L'Association,NULL,NULL,NULL,NULL,5655
6, L.G.P. L.L.C.,2004,NULL,NULL,NULL,6972
7, Salleck Publications; édition B.D.,NULL,NULL,NULL,NULL,949
8,!,NULL,NULL,NULL,NULL,2051
9,Impact Comics,1991,1993,Used for the MLJ superheroes that DC licensed from Archie.,NULL,54
10,!t [it books],NULL,NULL,An imprint of HarperCollins Publishers; URL listed under brand mark: YourItList.com,http://www.harpercollins.com/imprints/index.aspx?imprintid=517983,1171
11,(!) & Wormgod,2010,2010,NULL,http://www.wormgod.net/,7789
12,100 % Fusion,2012,NULL,Lancé en 2008 le label Fusion Comics était commun aux Editions Soleil et Panini. En 2010 elles se séparent. Panini reprend les séries sous le label 100 % Fusion en 2012.,NULL,4475
13,12-Gauge,2009,NULL,NULL,NULL,5893
15,12bis,NULL,NULL,NULL,NULL,5769
16,1906 - 2006 COOP litt ditt i 100 år,NULL,NULL,NULL,NULL,6551
17,1ok; Zenescope,2012,NULL,NULL,NULL,3197
18,1st Amendment Publishing,NULL,NULL,NULL,NULL,3045
19,2-D Graphics,NULL,NULL,NULL,NULL,3121
22,2000 A.D.,1991,1991,NULL,NULL,517
23,2000 A.D. Books,NULL,NULL,NULL,NULL,608
24,2000 A.D. Presents,1988,NULL,NULL,NULL,608
25,2000 AD,2001,NULL,NULL,http://www.2000adonline.com/,2020
26,2000 AD,NULL,NULL,NULL,NULL,543
27,2000 AD Germany,NULL,NULL,NULL,NULL,5732
28,2000 AD; Fleetway Quality,NULL,NULL,NULL,NULL,517
31,2099,1995,1996,NULL,NULL,78
33,Spider-Man Group,1995,1995,NULL,NULL,78
34,215 Ink.,2009,NULL,NULL,NULL,7523
35,3 ,NULL,NULL,NULL,NULL,5013
36,3 Boys Productions,NULL,NULL,NULL,NULL,3081
37,3 Finger Prints,NULL,NULL,NULL,NULL,5013
38,3-D Adventure Comics,1986,NULL,NULL,NULL,7160
39,3D Cosmic Publications,1982,1982,NULL,NULL,433
40,4Winds Publishing Group,1988,1990,NULL,NULL,596
41,5-D Comics,NULL,NULL,NULL,NULL,5947
42,515Comics.com,2012,NULL,NULL,NULL,8780
43,666 Comics,1997,1997,NULL,NULL,3200
44,7 Monos,NULL,NULL,NULL,NULL,4872
46,8 Ball Press,1990,1990,NULL,NULL,5991
47,803 Studios,2004,NULL,NULL,http://www.803studios.net/,6937
48,9th Circle Studios,1996,1996,NULL,NULL,840
49,9th; Cinebook The 9th Art Publisher,NULL,NULL,NULL,NULL,4266
51,:01 First Second,2006,NULL,NULL,NULL,2996
52,A,NULL,NULL,NULL,NULL,7544
53,A,NULL,NULL,NULL,NULL,1209
54,Arcadia,NULL,NULL,NULL,NULL,5691
56,A,NULL,NULL,NULL,NULL,1563
58,A,1989,1989,NULL,NULL,506
59,A,NULL,NULL,NULL,NULL,8263
60,A,NULL,NULL,"a highly-stylized ""A"" with the crossbar formed by a small diamond shape and the left side stroke continuing to form a loop behind the letter.",NULL,4580
61,a,NULL,NULL,NULL,NULL,164
63,A 2000 AD Production,1988,1991,NULL,NULL,608
64,A Aksoy Yayincilik,NULL,NULL,NULL,NULL,6563
65,A Aller Press,NULL,NULL,NULL,NULL,1209
66,A Allers,NULL,NULL,NULL,NULL,1563
67,A Allers' blad,NULL,NULL,NULL,NULL,1563
68,A Alpha Productions,NULL,NULL,NULL,NULL,725
70,A Atlantic,NULL,NULL,NULL,NULL,1079
71,A B Publication,1947,1947,Letter B is larger than rest of text.,NULL,2582
72,A Ballantine Book,NULL,NULL,Used at least during 1970.,NULL,251
73,A Bantam Book,NULL,NULL,also includes silhouette drawing of a rooster,NULL,1849
74,A BC Basement Comic,NULL,NULL,NULL,NULL,728
75,A BC Basement Comic; Amryl,NULL,NULL,NULL,NULL,728
76,A BCSI Publication,NULL,NULL,NULL,NULL,510
77,A Berkley Book,NULL,NULL,NULL,NULL,1854
78,A Birch Control Production,NULL,NULL,NULL,NULL,6267
79,Blind Bat,NULL,NULL,NULL,NULL,4468
80,A Blue Star Comic,1947,1947,This brand was used on one-shots produced by The K. G. Murray Publishing Company at the time of its earliest comics publication.,NULL,270
81,A Borderland Book,1996,1996,NULL,NULL,749
82,A Byron Preiss Book; Bantam Spectra Books,NULL,NULL,NULL,NULL,700
83,A Cambridge House Book,1945,1945,NULL,NULL,152
84,A Capitol Publication,1953,1953,Picture of the Capitol building with the words of the brand superimposed.,NULL,50
85,A Cardinal Edition [with image of a cardinal]],NULL,NULL,NULL,NULL,690
86,A Castle & Key Publication,2011,NULL,NULL,NULL,7485
87,A Century Publication,1948,1950,"Words ""A Century Publication"" in a circle around a UK price for the book.  Used (exclusively?) on comics published in Canada but distributed in the UK.",NULL,223
92,A Charlton Publication,1955,1958,NULL,NULL,7488
95,A Columbia Comic Book,1941,1941,NULL,NULL,86
96,A Comic Magazine Geo. A. Pflaum Publisher Inc.,NULL,NULL,NULL,NULL,170
97,A Comics Interview Publication,NULL,NULL,"The words ""A Comics Interview Publication"" inside a word ballon.",NULL,487
98,A Crossen Publication,NULL,NULL,NULL,NULL,149
99,A Daily Mirror Book,NULL,NULL,NULL,NULL,3975
100,A Dandy Comic,1956,1956,NULL,NULL,77
101,A Dargaud Presentation,NULL,NULL,NULL,NULL,3225
103,A Darling Magazine,1949,1951,NULL,NULL,71
104,A David C. Cook Weekly,NULL,NULL,NULL,NULL,1886
110,A Dell Comic,1948,1951,"Emblem has ""Dell"" in the center of a square made up of the words ""A Dell Comic"" running horizontally and vertically. This is an overprint with the background colors showing through. Reprinted from American Dell comics.",NULL,2164
112,A Dell Magazine,1948,NULL,Same emblem as used on the Dell comics the company reprinted for Canadian distribution. ,NULL,2164
115,A Dependable Publication,NULL,NULL,NULL,NULL,3587
116,A Dime Comic,1946,1946,Appeared on Dime Comics but definitely as a mark distinct from the title.,NULL,77
122,A Farm,NULL,NULL,NULL,NULL,6894
123,Farrell,1951,1958,NULL,NULL,226
126,A Fawcett Columbine Book,1987,1987,NULL,NULL,2302
127,A Fawcett Crest Book,NULL,NULL,NULL,NULL,1868
129,A Fawcett Gold Medal Book,NULL,NULL,NULL,NULL,1868
140,A Fine Line,1997,1999,NULL,NULL,885
141,A Fireside Book,NULL,NULL,NULL,NULL,659
144,A Fleetway Annual,1978,1990,NULL,NULL,608
145,A Fleetway Library,NULL,NULL,Rather than create a new brand Phillips used the old IPC logo that had been in use since the early 1960s.,NULL,8811
146,Fleetway,1960,1985,NULL,NULL,1946
147,A Fleetway Library,NULL,NULL,NULL,NULL,608
148,A Fleetway Super Library,NULL,NULL,NULL,NULL,608
149,Four Star,NULL,NULL,NULL,NULL,140
152,Fox,1939,1951,NULL,NULL,74
157,A Frank Johnson Publication,NULL,NULL,NULL,NULL,8031
158,A Frew Publication,NULL,NULL,NULL,NULL,2022
160,A Good Comic,1955,1955,Brand used only on ACG American Comics Group's Modern Store Publications in 1955.,NULL,185
161,A Good Kirby Comic,NULL,NULL,NULL,NULL,2790
162,A GrizMart Production,1997,2007,The first part of the brand is the letters GRIZ in bold with a slight right-tilt to the letters.  The second part is the letters MART in overlapping hand-written letters with a slight left-tilt to the letters.,NULL,4060
163,A Grove Press Special,NULL,NULL,NULL,NULL,6859
164,A Heavy Metal Book,1977,NULL,NULL,NULL,384
165,A Hi-De-Ho Production,1978,1978,NULL,NULL,3089
166,A Hillman Publication,1944,1953,NULL,NULL,91
168,A Hodder Dargaud Presentation,NULL,NULL,NULL,NULL,3225
169,A Howski Product,NULL,NULL,NULL,NULL,3405
170,A Humorama Magazine,1953,1968,NULL,NULL,78
171,A Key Magazine,NULL,NULL,NULL,NULL,252
172,A Lancer Special,NULL,NULL,NULL,NULL,2315
173,A Law and Order Publication,1952,1953,NULL,NULL,50
174,A Legrazie Publication,NULL,NULL,NULL,NULL,2633
175,A Lightning Comic,1967,1967,NULL,NULL,312
176,A List Comics,1997,1999,NULL,NULL,3018
177,A Little Golden Book,1942,NULL,NULL,http://www.randomhouse.com/golden/lgb/,2216
178,A Lopez Publication,1971,NULL,Plain text Lopez in caps,NULL,8641
179,A Lopez Publication,NULL,NULL,"Drawing of sailor with harpoon and text ""A LOPEZ Publication"" above it in upper left corner of cover.",NULL,7974
182,A Lovers Magazine,1949,1950,used from approximately October 1949 to June 1950 on romance titles,NULL,78
184,A Lunchtime Story,NULL,NULL,NULL,NULL,4489
192,A Micron Publication,NULL,NULL,NULL,NULL,4828
193,A Millennium Publication; A Borderland Book,NULL,NULL,NULL,NULL,749
194,A Minoan Magazine,1951,NULL,"The words are above a bull's head. Possible the last word is ""Publication"" it often is very small and difficult to read.",NULL,201
196,A Montage Book,1973,1973,Years based on only known publication.,NULL,6075
197,A NetCo Presentation; Big Entertainment; CP Group,1997,1997,NULL,NULL,847
198,A of F,2012,NULL,"The words ""A of F"" inside a double helix (like DNA) inside a hexagon.",NULL,8743
200,A Peanut Juice Production,NULL,NULL,NULL,NULL,2746
201,A Penguin Book,NULL,NULL,NULL,NULL,587
202,A Perigee Book,NULL,NULL,NULL,NULL,2523
204,A Pinnacle Book,1975,NULL,NULL,NULL,371
205,A Pocket Book,NULL,NULL,NULL,NULL,690
206,A Polystyle Publication,NULL,NULL,NULL,NULL,4744
207,A Power Comic,NULL,NULL,NULL,NULL,1946
208,A Premiere PM Comic,NULL,NULL,NULL,NULL,254
209,A Prize Publication,1946,1952,NULL,NULL,102
211,A Pyramid Book,NULL,NULL,NULL,NULL,4018
212,A Pyramid Publication,NULL,NULL,NULL,NULL,4018
214,A Quality Magazine,NULL,NULL,NULL,NULL,449
215,A Quality Publication,NULL,NULL,NULL,NULL,449
218,A Raw Book,NULL,NULL,NULL,NULL,530
220,A Realistic Comic,NULL,NULL,NULL,NULL,197
221,A Realistic Comic,1951,1951,NULL,NULL,7844
222,A Realistic Reprint,NULL,NULL,NULL,NULL,197
223,A Remington Morse Publication,NULL,NULL,NULL,NULL,2537
224,A Reston Comic,1955,1955,NULL,NULL,2784
225,Rhoda / Your Guide,1939,1941,NULL,NULL,77
226,A Richard Jackson Book,NULL,NULL,NULL,NULL,751
227,A Rocky Hartberg Production,NULL,NULL,NULL,NULL,1038
228,A Romance! Magazine,1950,1950,NULL,NULL,78
230,A Scion Comic,NULL,NULL,NULL,NULL,7620
231,A Signet Book,NULL,NULL,NULL,NULL,282
232,A Signet Comic,1968,NULL,"Typeset in same style as ""A Signet Book.""",NULL,282
233,A Skywald Horror-Mood Publication,NULL,NULL,NULL,NULL,332
234,A Skywald Publication,NULL,NULL,NULL,NULL,332
235,A Songhits Comics Publication,1952,1952,NULL,NULL,50
236,A Southstar Publication,NULL,NULL,NULL,NULL,5981
237,A Spooky Cute Production,NULL,NULL,NULL,NULL,6198
238,A Sports Illustrated for Kids Book,NULL,NULL,NULL,NULL,908
239,A Star Comic,NULL,NULL,NULL,NULL,3100
240,A Star Comic,1952,1954,Circle with a star in the center text in exterior circle.,NULL,27
242,A Star Publication,1949,1953,Circle with a star in the center text in exterior circle.,NULL,27
243,A Stop Dragon Comic,NULL,NULL,NULL,NULL,541
245,A Streamline Bumper Comic,NULL,NULL,NULL,NULL,6492
246,A Streamline Comic,1950,1960,Beginning and end dates are approximate,NULL,6492
247,A Streamline Pictorial Romance,NULL,NULL,NULL,NULL,6492
253,A TE Comic,NULL,NULL,NULL,NULL,557
254,A Tempo Book,NULL,NULL,NULL,NULL,382
255,A Thrill Adventure,1955,1962,NULL,NULL,76
257,A Times of India Publication,NULL,NULL,NULL,NULL,5140
258,A Tippy Teen Swingin' 'Zine,NULL,NULL,NULL,NULL,302
259,A Tom Doherty Associates Book,NULL,NULL,NULL,NULL,432
260,A Toon Book,NULL,NULL,NULL,http://www.toon-books.com/,4736
261,A Top Quality Comic,NULL,NULL,NULL,NULL,278
262,A Top Sellers Publication,NULL,NULL,NULL,NULL,3349
268,A Triad Publication,NULL,NULL,NULL,NULL,574
269,A True Cross Comic,NULL,NULL,NULL,NULL,198
270,A True Cross Comic; Cross Cross,NULL,NULL,"The word Cross twice in the form of a cross with the words ""A True Cross Comic"" twice in a circle around it.",NULL,198
272,A Twin Circle Supplement,NULL,NULL,NULL,NULL,7215
273,A U. S. Camera Publication,1944,1946,NULL,NULL,2400
274,A Velvet Touch Publication,NULL,NULL,NULL,NULL,6719
275,Vital,1943,1945,NULL,NULL,67
276,A Vital Publication,NULL,NULL,NULL,NULL,3325
277,Warren,NULL,NULL,NULL,NULL,279
278,A Wave Blue World,NULL,NULL,NULL,NULL,6613
279,A Weirdom Publication,NULL,NULL,NULL,NULL,2903
281,A Will Eisner Publication,1949,1949,NULL,NULL,1824
283,A Yahoo Pro.,NULL,NULL,Brand may have either 'A Yahoo Pro.' or just 'Yahoo Pro.' inside a circle,NULL,2704
284,A Zain-Eppy Creation,1933,1934,NULL,NULL,2562
285,A Zenith Book,NULL,NULL,NULL,NULL,2399
286,A Ziff-Davis Comic,NULL,NULL,NULL,NULL,212
287,A Ziff-Davis Publication,1950,NULL,NULL,NULL,212
288,A+ Comics,1990,1991,NULL,NULL,549
289,A-Bomb,2003,NULL,NULL,http://www.keenspot.com/a-bomb/,2471
290,A-Okay Comics,2003,NULL,Self-publisher Tom Scioli,http://www.ambarb.com/?page_id=151,8770
291,A. M. Hanches bok-kunst & musikforlag Oslo [ugle],NULL,NULL,NULL,NULL,1655
292,A. Silent Comics,1998,2001,NULL,NULL,1986
293,A. Teeuwen Holland,1953,1962,NULL,NULL,256
294,A.L. Publishing,2013,NULL,NULL,NULL,8828
295,A.M. Works,NULL,NULL,NULL,NULL,2082
297,A.P. Co.,1971,1971,NULL,NULL,2909
298,A.R.M. Comics,2003,NULL,NULL,NULL,7308
300,Bruna,NULL,NULL,NULL,NULL,4090
301,A/S Hjemmet,NULL,NULL,NULL,NULL,1559
302,A/S Hjemmet - Bladforlaget,NULL,NULL,NULL,NULL,1559
303,A/S Hjemmet - Bladforlaget; Dargaud presenterer,NULL,NULL,NULL,NULL,1559
304,A/S Hjemmet - Bokforlaget,NULL,NULL,NULL,NULL,1559
305,A/S Hjemmet - forlagsavdelingen,NULL,NULL,NULL,NULL,1559
306,A/S Hjemmet - Pocketbokforlaget,NULL,NULL,NULL,NULL,1559
309,A; Adventure Comics,NULL,NULL,NULL,NULL,506
310,A; Aschehoug,NULL,NULL,NULL,NULL,1570
312,AA,NULL,NULL,NULL,NULL,2746
313,AAA Milwaukee Publishing,NULL,NULL,NULL,NULL,2920
314,AAA Pop Comics,NULL,NULL,NULL,NULL,1098
315,AAA Pop Comics,2003,2003,NULL,NULL,946
316,AAARGH! Comics,NULL,NULL,NULL,NULL,3151
317,AAM/Markosia,2007,NULL,In 2007 Markosia re-branded themselves for the comics direct market by merging with AAM (Associated Arts and Media) to form AAM Markosia.,NULL,3097
318,Aar-Verlag,NULL,NULL,NULL,NULL,4805
319,Aardvark One International,1986,1988,NULL,NULL,505
320,Aardvark Vanaheim,NULL,NULL,No hyphen.,NULL,380
321,Aardvark-Vanaheim and Renegade Press,NULL,NULL,NULL,NULL,2735
324,Aardwolf,1995,1998,NULL,NULL,997
326,AA² Entertainment,NULL,NULL,NULL,NULL,841
327,America's Best,1957,1958,NULL,NULL,226
328,Amsterdam Boek,1973,1975,NULL,NULL,3260
330,Abaculus,NULL,NULL,NULL,NULL,5784
331,Abacus Press,NULL,NULL,NULL,NULL,4133
332,Abba Comics,2001,NULL,Dates are an estimate,http://abbacomics.com/,7278
333,Abbeville,NULL,NULL,NULL,NULL,389
335,ABC,NULL,NULL,NULL,NULL,5701
337,Aberrant Press,NULL,NULL,NULL,NULL,5954
338,Aberration Press,NULL,NULL,NULL,NULL,1808
339,Abiogenesis Press,NULL,NULL,NULL,NULL,1791
340,Abismo,1999,2001,NULL,NULL,5781
341,Ablaze Media,2002,2002,NULL,NULL,2669
342,Ablewas I,1996,1996,NULL,NULL,2980
343,About Comics,NULL,NULL,NULL,NULL,2083
344,Above & Beyond Comics,1997,1997,NULL,NULL,1086
345,Abrams,NULL,NULL,NULL,http://www.abramsbooks.com/,4476
346,Abrams ComicArts,NULL,NULL,NULL,http://www.abramsbooks.com/comicarts.html,4476
347,Abril,NULL,NULL,NULL,NULL,4738
348,Abril Jovem,1989,NULL,NULL,NULL,4738
350,Abril Jovem; DC/Marvel,NULL,NULL,Utilzada para crossovers de personagens da DC/Marvel.,NULL,4738
351,Abril Jovem; Helix,1998,1998,Selo das histórias de ficção científica da DC Comics,NULL,4738
352,Abril Jovem; Image,NULL,NULL,NULL,NULL,4738
353,Abril Jovem; Marvel Comics,NULL,NULL,NULL,NULL,4738
354,Abril Jovem; Vertigo,NULL,NULL,NULL,NULL,4738
356,Abril; Disney,1950,NULL,NULL,NULL,4738
357,Abril; WS,NULL,NULL,NULL,NULL,4738
358,Absolute Comics,NULL,NULL,NULL,NULL,761
359,Abstract Studio,NULL,NULL,NULL,NULL,1879
361,AC,NULL,NULL,NULL,NULL,454
362,AC Adult Comics,NULL,NULL,NULL,NULL,2758
367,AC Ein Amok Comic,NULL,NULL,NULL,NULL,7499
370,Academy Comics Ltd.,NULL,NULL,NULL,NULL,794
371,Accent UK,NULL,NULL,NULL,NULL,5875
372,Accepted Publications,1953,1958,NULL,NULL,2036
375,Acclaim,1995,2000,NULL,NULL,303
382,Ace,1995,1997,NULL,NULL,5975
383,Ace,NULL,NULL,"A playing card spade symbol with ""Ace"" inside.",NULL,8411
384,Ace,NULL,NULL,NULL,NULL,1921
385,Ace,NULL,NULL,NULL,NULL,84
387,ACE Comics,1986,1987,NULL,NULL,7139
388,ACE Comics,NULL,NULL,NULL,NULL,548
389,Ace Star,NULL,NULL,NULL,NULL,1921
390,Ace Tempo,1979,NULL,We will someday need to move series and issues from the Ace Tempo Books as publisher because it appears never to have been a standalone publisher but merely this brand of Grosset & Dunlap.,NULL,4281
391,Ace Tempo,NULL,NULL,NULL,NULL,1921
392,Ace Tempo,NULL,NULL,NULL,NULL,382
393,Aced Comics,NULL,NULL,NULL,NULL,5212
394,Acetyene Comics,2001,2001,NULL,NULL,3654
395,ACG,NULL,NULL,NULL,NULL,802
406,Acid Colors,2002,2002,NULL,NULL,3410
407,Acid Rain Studios,NULL,NULL,NULL,NULL,2585
408,Acme Ink,2011,NULL,NULL,NULL,7130
409,Acme Press,NULL,NULL,NULL,NULL,4632
410,Acropolis Arts,1996,1996,NULL,NULL,2985
411,Actes Sud - l'An 2,NULL,NULL,NULL,http://www.editionsdelan2.com/,7710
412,Actes Sud BD,NULL,NULL,NULL,NULL,7710
413,Action Lab,2011,NULL,NULL,NULL,7652
414,Action Planet,1999,1999,NULL,NULL,2849
415,Active Images,2002,NULL,NULL,NULL,2212
416,Active Synapse,1998,2002,NULL,NULL,3117
417,Actual Ender's Game,2008,2012,NULL,NULL,78
419,ADA,NULL,NULL,NULL,http://www.ada.org/,6000
420,Adhesive Comics,1992,2000,NULL,NULL,1107
421,adhouse books,NULL,NULL,NULL,http://www.adhousebooks.com/,2466
422,Adoken Comics!,NULL,NULL,NULL,NULL,7002
423,Adoken Comics!,NULL,NULL,NULL,NULL,7001
424,ADV Manga,2003,2007,NULL,http://www.adv-manga.com/,3697
425,Advantage Graphics Press,NULL,NULL,NULL,NULL,4354
426,Adventure,1989,1993,Formerly an independent company Adventure became a part of Malibu beginning with the October 1989 releases.,NULL,613
427,Adventure,1986,1089,NULL,NULL,506
429,Adventure Publications,NULL,NULL,NULL,NULL,506
430,AE Angel Entertainment,1996,1997,NULL,NULL,6084
431,Aeiser Bagginer Press,1977,1977,NULL,NULL,2891
432,Aeon,1993,1997,NULL,NULL,652
433,After Hours Press,2002,2002,NULL,NULL,3523
434,After Shock Comics,NULL,NULL,NULL,NULL,4662
436,AFUK,NULL,NULL,NULL,NULL,7734
437,AFÛK,NULL,NULL,NULL,NULL,7734
438,AFUK Algemiene Fryske Underrjocht Kommisje,NULL,NULL,NULL,NULL,7734
442,Agreeable Comics,2010,NULL,NULL,NULL,5188
443,AIIIE! Comics,NULL,NULL,NULL,NULL,3635
444,Airbrush Comics,1987,1987,NULL,NULL,3341
445,Aircel,1988,1992,Originally an independent publisher Aircel became a division of Malibu in 1988 eventually becoming Malibu's brand for its mature readers and adults-only titles.,NULL,613
446,Aircel,1986,NULL,Sometimes in the pricebox with a winged figure sometimes in the middle of a eagle-type figure.,NULL,1237
450,Aire Libre,NULL,NULL,NULL,http://airelibre.dupuis.com/,3361
452,Airship Entertainment,NULL,NULL,"Logo consists of a line image of a dirigible with the words ""AIRSHIP ENTERTAINMENT"" below.",NULL,2089
453,Airwave Comics,NULL,NULL,NULL,NULL,3193
454,Airwave Publishing,2006,2006,NULL,NULL,3193
455,AiT/Planet Lar,2003,NULL,NULL,NULL,2121
456,AIX C.C.,NULL,NULL,NULL,NULL,5787
457,Aja Blu Comics,NULL,NULL,NULL,NULL,3606
458,Ajax,NULL,NULL,Usually in upper left corner black box with AJAX in it.,NULL,226
462,Akileos,NULL,NULL,NULL,NULL,5143
463,Aladdin Paperbacks,1978,NULL,Aladdin Paperbacks is Simon & Schuster Children's Publishing's paperback imprint for readers ages 4 to 12 years old.,NULL,659
464,Albatros,NULL,NULL,NULL,NULL,5486
465,Albert Bonniers förlag,NULL,NULL,NULL,NULL,1203
466,Albi Spada,NULL,NULL,NULL,NULL,306
467,Albin Michel,NULL,NULL,NULL,NULL,6236
468,Albumförlaget,NULL,NULL,NULL,NULL,4663
469,Alchemy Texts,2001,2004,NULL,NULL,3290
470,Alessandro Editore AE,NULL,NULL,NULL,NULL,4549
471,Aleta Ediciones; Image Comics,2003,NULL,NULL,NULL,4873
472,Alfabeta,NULL,NULL,NULL,NULL,1276
473,Algrove,NULL,NULL,NULL,http://www.algrove.com/,8875
474,Alias,2005,2008,NULL,NULL,2549
475,Alias Community Comics,NULL,NULL,NULL,NULL,2549
476,Alias; Astounding,NULL,NULL,NULL,NULL,2549
477,Alias; Bluewater Productions,NULL,NULL,NULL,NULL,2549
478,Alias; Funny Pages Press,NULL,NULL,NULL,NULL,2549
479,All Australasian Comics,NULL,NULL,Roundrel with lettering surrounding a map of Australia New Zealand and surrounding islands.,NULL,8088
480,All Comics Library,1944,1944,"This ribbon logo with a small star under it appears on the back cover of the one-shot surrogate-published by Larkin Roosevelt and Larkin.  It is identical to the ""American Comics Library"" back cover logo used on the one-shots surrogate-published by R. W. Voigt except for the first word.",NULL,74
481,All-American Comics,1989,1990,NULL,NULL,612
482,All-Jonh,1995,NULL,NULL,NULL,6849
483,allegory,2011,NULL,NULL,NULL,7723
484,Aller,NULL,NULL,NULL,NULL,1563
485,Aller Forlag,NULL,NULL,NULL,NULL,1563
486,Allerbok,NULL,NULL,NULL,NULL,1282
487,Allers,NULL,NULL,NULL,NULL,1563
488,Alles Gute!,NULL,NULL,NULL,NULL,5985
489,Alliance,1994,1994,NULL,NULL,6641
490,Allied Comics,NULL,NULL,NULL,NULL,6509
491,Alligator,1971,NULL,NULL,NULL,600
492,Alligator Farm,2006,NULL,NULL,NULL,6894
493,Almanakkforlaget,NULL,NULL,NULL,NULL,5044
494,Alpen Publishers,NULL,NULL,NULL,NULL,677
496,alpha comic verlag,NULL,NULL,NULL,NULL,641
497,Alpha Productions,NULL,NULL,NULL,NULL,725
498,Alter Comics; Dark Horse Comics,2001,NULL,NULL,NULL,4986
499,Alterna,NULL,NULL,NULL,NULL,4648
500,Alterna Comics,2007,NULL,NULL,NULL,4648
501,Alternative Comics,1999,2006,NULL,NULL,1245
502,Alternative Press,NULL,NULL,NULL,NULL,842
503,Alvglans,NULL,NULL,NULL,NULL,402
504,Alvglans Förlag,NULL,NULL,NULL,NULL,402
506,AM Mondadori,NULL,NULL,NULL,NULL,196
507,Amalgam,1996,1996,NULL,NULL,370
508,Amalgam,1996,1997,NULL,NULL,855
509,Amar Chitra Katha,1967,NULL,Illustrated Classics from India,http://www.amarchitrakatha.com/,6078
510,Amaze Ink,NULL,NULL,NULL,NULL,538
511,Amazing Comics,NULL,NULL,NULL,NULL,550
512,Amazing Comics,NULL,NULL,NULL,NULL,2449
513,Amazing Montage,1996,1998,NULL,NULL,822
514,Amber Komiks,2001,NULL,NULL,NULL,8305
515,America's Best Comics,1999,2011,This brand was planned before Wildstorm's sale to DC but was only used under DC.,NULL,54
517,American Comic Archive,NULL,NULL,NULL,NULL,5697
518,American Comics Group ACG,1949,1967,NULL,NULL,185
520,American Comics Library,1944,1944,Appeared on at least one of the 1944 giant issues published by one of Fox's surrogates (R. W. Voigt).  This logo generally appeared on the backs of the issues but on the issue of All Good Comics the front cover shows a boy reading the comic with both the front and back covers visible and the very large back cover logo is clearly readable as a moderate-sized logo within the artwork of the front cover.,NULL,74
521,American Splendor,1976,1991,NULL,NULL,1021
522,AmericAnime,2006,2006,NULL,NULL,5805
523,AmericAnime,2006,2006,NULL,NULL,5805
524,Amerotica,1996,NULL,NULL,NULL,525
525,Amigo Comics,NULL,NULL,NULL,NULL,926
527,AMP,NULL,NULL,NULL,NULL,6990
528,Amp Comics,1999,2002,NULL,http://www.ampcomics.com/,8267
529,Amryl Entertainment,2003,2003,NULL,NULL,3729
530,Amryl Entertainment AE,NULL,NULL,NULL,NULL,3729
531,Amt für Veröffentlichungen,NULL,NULL,NULL,NULL,1964
532,Amulet Books,NULL,NULL,NULL,http://www.amuletbooks.com/,4476
533,An ABC Publication,NULL,NULL,NULL,NULL,4515
534,An Abundant Life Publication for Boys and Girls,NULL,NULL,NULL,NULL,2625
536,An Ace Magazine,NULL,NULL,NULL,NULL,84
538,An Active Images Publication,NULL,NULL,NULL,NULL,2212
540,An All-American Publication,1944,1945,"Merged into ""A Superman DC Publication"".",NULL,54
544,An Archie Magazine,NULL,NULL,NULL,NULL,7489
546,An Atlas Publication,1948,1953,NULL,NULL,5812
547,An Atlas Publication AP,1953,1955,Dating is uncertain.,NULL,5812
548,An Atomic Comic,1946,1946,NULL,NULL,77
549,An Avon Book,NULL,NULL,NULL,NULL,1855
550,An Avon Comic,NULL,NULL,NULL,NULL,197
551,An Avon Fantasy Classic,NULL,NULL,NULL,NULL,197
553,An Avon Publication,NULL,NULL,NULL,NULL,197
554,An East Willis Comic,1999,NULL,"Circle with ""An East Willis Comic"" inside one word per line.",NULL,8322
557,An Entertaining EC Comic,NULL,NULL,"This was used on most or all of the EC reprints by Gemstone.  In a white circle with the EC part in the center ""An Entertaining"" above and ""Comic"" below.",NULL,1815
558,An FEH Publication,NULL,NULL,NULL,NULL,2245
561,An Invincible Comic,NULL,NULL,NULL,NULL,7962
565,An Oral Roberts Tele Pix Publication,NULL,NULL,NULL,NULL,2625
566,An Orbit Publication,NULL,NULL,NULL,NULL,181
568,An Outstanding Comics Publication,1952,1953,NULL,NULL,50
570,An Owl Book,NULL,NULL,NULL,NULL,1174
571,An Owl Book,NULL,NULL,"As seen on ""The Shoe Must Go On"" volume.  The brand on the cover is just an owl symbol inside it says ""An Owl Book"".",NULL,3742
572,ANA Comics,2012,NULL,NULL,NULL,8779
573,Anarchy Bridgeworks,1992,1992,NULL,NULL,3422
574,Anarchy Studios,2000,NULL,NULL,NULL,682
575,Anarchy Studios,NULL,NULL,NULL,NULL,3113
576,ANC,NULL,NULL,NULL,NULL,3550
577,ANC!  Angry Naked Comics!,NULL,NULL,NULL,NULL,3550
578,Anchor,1973,NULL,Year brand began unknown.  This is the year on the book on hand.,NULL,43
579,Anders Tellefsen,NULL,NULL,NULL,NULL,1589
580,Andrews and McMeel,1977,2010,NULL,NULL,600
